institution,year,status,total
Diakonhjemmet sykehus,2021,green,22
Diakonhjemmet sykehus,2021,closed,41
Diakonhjemmet sykehus,2022,diamond,2
Diakonhjemmet sykehus,2022,gold,80
Diakonhjemmet sykehus,2022,hybrid,23
Diakonhjemmet sykehus,2022,hybrid_agreement,36
Diakonhjemmet sykehus,2022,green,22
Diakonhjemmet sykehus,2022,closed,36
Diakonhjemmet sykehus,2023,gold,59
Diakonhjemmet sykehus,2023,hybrid,21
Diakonhjemmet sykehus,2023,hybrid_agreement,49
Diakonhjemmet sykehus,2023,green,20
Diakonhjemmet sykehus,2023,closed,18
Diakonhjemmet sykehus,2024,diamond,2
Diakonhjemmet sykehus,2024,gold,85
Diakonhjemmet sykehus,2024,hybrid,33
Diakonhjemmet sykehus,2024,hybrid_agreement,52
Diakonhjemmet sykehus,2024,green,17
Diakonhjemmet sykehus,2024,closed,31
Diakonhjemmet sykehus,2025,diamond,2
Diakonhjemmet sykehus,2025,gold,90
Diakonhjemmet sykehus,2025,hybrid,38
Diakonhjemmet sykehus,2025,hybrid_agreement,36
Diakonhjemmet sykehus,2025,green,11
Diakonhjemmet sykehus,2025,deposited,3
Diakonhjemmet sykehus,2025,closed,21
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,diamond,4
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,gold,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,green,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2013,closed,13
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2014,gold,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2014,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2014,closed,12
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,diamond,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,gold,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,green,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2015,closed,13
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,diamond,10
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,gold,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,green,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2016,closed,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,diamond,8
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,gold,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,green,8
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2017,closed,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,diamond,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,gold,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,green,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2018,closed,11
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,diamond,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,gold,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,hybrid,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,green,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2019,closed,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,diamond,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,gold,18
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,hybrid,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,hybrid_agreement,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2020,closed,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,diamond,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,gold,11
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,hybrid,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,hybrid_agreement,9
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,green,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2021,closed,4
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,diamond,6
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,gold,10
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,hybrid,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,hybrid_agreement,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,green,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2022,closed,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,diamond,11
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,gold,10
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,hybrid_agreement,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,green,5
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2023,closed,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,diamond,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,gold,8
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,hybrid,1
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,hybrid_agreement,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2024,green,2
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,diamond,15
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,gold,21
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,hybrid,7
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,hybrid_agreement,15
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,green,3
Dronning Mauds Minne Høgskole for barnehagelærerutdanning,2025,closed,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,gold,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,hybrid,2
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,green,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2013,closed,23
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,diamond,1
Fafo Institutt for arbeidslivs- og velferdsforskning,2014,gold,7
