year,sector,discipline,status,total
2016,health,all,green,449
2016,health,all,closed,1894
2016,health,humanities,gold,1
2016,health,humanities,hybrid,1
2016,health,humanities,closed,5
2016,health,health_sciences,diamond,77
2016,health,health_sciences,gold,779
2016,health,health_sciences,hybrid,387
2016,health,health_sciences,green,418
2016,health,health_sciences,closed,1718
2016,health,natural_sciences_engineering,diamond,6
2016,health,natural_sciences_engineering,gold,246
2016,health,natural_sciences_engineering,hybrid,24
2016,health,natural_sciences_engineering,green,19
2016,health,natural_sciences_engineering,closed,109
2016,health,social_science,diamond,6
2016,health,social_science,gold,28
2016,health,social_science,hybrid,2
2016,health,social_science,green,12
2016,health,social_science,closed,49
2016,institute,all,diamond,114
2016,institute,all,gold,886
2016,institute,all,hybrid,412
2016,institute,all,green,817
2016,institute,all,deposited,1
2016,institute,all,closed,1875
2016,institute,humanities,diamond,10
2016,institute,humanities,gold,9
2016,institute,humanities,hybrid,3
2016,institute,humanities,green,10
2016,institute,humanities,closed,26
2016,institute,health_sciences,diamond,32
2016,institute,health_sciences,gold,260
2016,institute,health_sciences,hybrid,148
2016,institute,health_sciences,green,155
2016,institute,health_sciences,closed,478
2016,institute,natural_sciences_engineering,diamond,19
2016,institute,natural_sciences_engineering,gold,549
2016,institute,natural_sciences_engineering,hybrid,206
2016,institute,natural_sciences_engineering,green,482
2016,institute,natural_sciences_engineering,closed,989
2016,institute,social_science,diamond,53
2016,institute,social_science,gold,66
2016,institute,social_science,hybrid,52
2016,institute,social_science,green,146
2016,institute,social_science,deposited,1
2016,institute,social_science,closed,267
2016,higher_education,all,diamond,840
2016,higher_education,all,gold,3012
2016,higher_education,all,hybrid,1205
2016,higher_education,all,green,3164
2016,higher_education,all,deposited,7
2016,higher_education,all,closed,8258
2016,higher_education,humanities,diamond,192
2016,higher_education,humanities,gold,78
2016,higher_education,humanities,hybrid,28
2016,higher_education,humanities,green,190
2016,higher_education,humanities,deposited,1
2016,higher_education,humanities,closed,656
2016,higher_education,health_sciences,diamond,115
2016,higher_education,health_sciences,gold,1295
2016,higher_education,health_sciences,hybrid,555
2016,higher_education,health_sciences,green,799
2016,higher_education,health_sciences,deposited,1
2016,higher_education,health_sciences,closed,2556
2016,higher_education,natural_sciences_engineering,diamond,226
2016,higher_education,natural_sciences_engineering,gold,1353
2016,higher_education,natural_sciences_engineering,hybrid,468
2016,higher_education,natural_sciences_engineering,green,1450
2016,higher_education,natural_sciences_engineering,deposited,2
2016,higher_education,natural_sciences_engineering,closed,3097
2016,higher_education,social_science,diamond,307
2016,higher_education,social_science,gold,265
2016,higher_education,social_science,hybrid,117
2016,higher_education,social_science,green,578
2016,higher_education,social_science,deposited,3
2016,higher_education,social_science,closed,1528
2017,all,all,diamond,1115
2017,all,all,gold,4250
2017,all,all,hybrid,1664
2017,all,all,green,5866
2017,all,all,deposited,3
2017,all,all,closed,7747
2017,all,humanities,diamond,283
2017,all,humanities,gold,100
2017,all,humanities,hybrid,39
2017,all,humanities,green,324
2017,all,humanities,deposited,1
2017,all,humanities,closed,456
2017,all,health_sciences,diamond,182
2017,all,health_sciences,gold,1635
2017,all,health_sciences,hybrid,714
2017,all,health_sciences,green,1442
2017,all,health_sciences,deposited,1
2017,all,health_sciences,closed,2631
2017,all,natural_sciences_engineering,diamond,249
2017,all,natural_sciences_engineering,gold,2160
2017,all,natural_sciences_engineering,hybrid,679
2017,all,natural_sciences_engineering,green,2638
2017,all,natural_sciences_engineering,closed,2931
2017,all,social_science,diamond,401
2017,all,social_science,gold,322
2017,all,social_science,hybrid,189
